Run,Time_ASM,Time_C
1,0.174000,1.985000
2,0.135000,1.942000
3,0.133000,1.941000
4,0.136000,1.959000
5,0.136000,1.971000
6,0.133000,2.058000
7,0.139000,1.999000
8,0.144000,2.163000
9,0.212000,2.142000
10,0.138000,2.008000
11,0.144000,1.986000
12,0.151000,1.971000
13,0.136000,1.961000
14,0.135000,1.947000
15,0.135000,1.940000
16,0.133000,1.971000
17,0.132000,1.942000
18,0.133000,1.943000
19,0.133000,1.944000
20,0.136000,1.957000
21,0.135000,1.945000
22,0.133000,1.950000
23,0.135000,1.947000
24,0.137000,1.942000
25,0.144000,1.945000
26,0.138000,1.943000
27,0.135000,1.944000
28,0.138000,1.950000
29,0.137000,1.942000
30,0.136000,1.939000
